ID,Edad,Horas_trabajadas_por_semana,Ingreso_mensual_miles,Gasto_mensual_miles,Color_favorito,Ocupacion,Estado_civil,Genero
89,33,40,3.43,3.37,azul,ingeniero,viudo,masculino
90,60,43,9.37,8.75,rojo,ingeniero,casado,masculino
91,24,49,5.02,4.68,morado,estudiante,casado,femenino
92,38,22,3.92,3.34,negro,ingeniero,soltero,masculino
93,36,45,6.32,5.8,rojo,estudiante,casado,masculino
94,20,52,2.57,2.06,verde,programador,viudo,masculino
95,22,43,4.89,4.65,verde,vendedor,casado,otro
96,41,34,4.33,3.58,negro,estudiante,divorciado,femenino
97,34,57,7.44,6.61,morado,estudiante,casado,masculino
98,65,52,6.81,6.65,morado,estudiante,soltero,otro
99,57,28,3.38,3.08,negro,vendedor,soltero,otro
100,27,43,2.49,2.2,morado,vendedor,soltero,masculino
101,49,41,5.49,5.27,amarillo,ingeniero,casado,femenino
102,61,60,2.7,2.6,amarillo,ingeniero,casado,otro
103,61,39,5.43,5.15,verde,ingeniero,casado,masculino
104,20,34,5.7,4.91,blanco,ingeniero,casado,femenino
105,36,57,9.79,9.17,amarillo,docente,viudo,femenino
106,46,42,1.76,1.58,blanco,vendedor,viudo,masculino
107,33,53,7.12,5.76,amarillo,ingeniero,viudo,otro
108,42,33,6.71,6.32,negro,vendedor,viudo,masculino
109,51,49,6.94,6.51,negro,docente,viudo,otro
110,30,35,2.06,1.88,morado,estudiante,soltero,masculino
111,49,60,1.89,1.53,negro,estudiante,soltero,masculino
112,58,27,1.72,1.6,blanco,ingeniero,divorciado,masculino
113,38,48,2.57,2.32,rojo,vendedor,soltero,femenino
114,37,38,5.98,5.92,morado,vendedor,soltero,otro
115,24,51,5.01,4.43,rojo,docente,casado,femenino
116,51,37,5.33,4.72,azul,programador,casado,masculino
117,60,22,4.99,4.03,verde,ingeniero,viudo,masculino
118,55,42,3.46,3.06,azul,ingeniero,soltero,masculino
119,48,47,6.69,6.66,verde,vendedor,viudo,otro
120,49,36,3.09,3.06,amarillo,programador,soltero,masculino
121,52,40,6.42,5.96,blanco,vendedor,divorciado,masculino
122,26,41,5.13,4.53,amarillo,médico,soltero,femenino
123,31,39,4.38,4.36,negro,docente,viudo,otro
124,31,60,4.71,4.26,morado,programador,soltero,masculino
125,56,48,6.93,6.46,azul,programador,viudo,femenino
126,62,24,5.65,4.94,rojo,docente,divorciado,femenino
127,23,38,4.5,4.5,blanco,vendedor,soltero,otro
128,21,27,2.12,1.86,azul,programador,viudo,otro
129,23,43,5.57,4.75,verde,ingeniero,soltero,femenino
130,48,42,1.86,1.67,negro,programador,viudo,otro
131,45,60,9.9,8.66,rojo,estudiante,divorciado,otro
132,21,31,7.04,5.67,morado,docente,viudo,femenino
133,57,55,2.28,2.02,azul,estudiante,viudo,masculino
134,26,34,7.34,7.23,azul,vendedor,divorciado,femenino
135,36,57,8.15,7.31,verde,estudiante,casado,otro
136,63,29,9.76,8.88,morado,vendedor,divorciado,femenino
137,38,50,4.69,4.46,negro,ingeniero,soltero,femenino
138,60,33,3.16,2.55,morado,estudiante,soltero,femenino
139,33,28,9.66,9.61,verde,médico,viudo,otro
140,19,35,4.4,4.22,morado,ingeniero,viudo,otro
141,34,29,3.8,3.09,negro,ingeniero,casado,masculino
142,22,28,7.67,7.2,blanco,programador,divorciado,femenino
143,60,23,7.49,6.55,rojo,vendedor,casado,femenino
144,55,39,8.38,8.13,morado,programador,casado,femenino
145,20,30,3.63,3.36,verde,estudiante,divorciado,otro
146,28,27,9.19,8.08,amarillo,vendedor,casado,femenino
147,62,57,3.57,3.42,rojo,ingeniero,casado,femenino
148,34,35,7.72,6.24,morado,ingeniero,casado,otro
149,20,37,9.93,9.66,rojo,docente,viudo,masculino
150,37,40,8.43,7.43,amarillo,docente,soltero,otro
151,37,36,1.95,1.85,verde,médico,divorciado,masculino
152,33,45,9.39,8.75,amarillo,docente,soltero,otro
153,58,60,1.55,1.27,morado,vendedor,viudo,otro
154,45,58,7.71,7.19,verde,vendedor,viudo,otro
155,49,53,8.53,7.07,verde,estudiante,viudo,masculino
156,20,23,4.15,3.88,morado,ingeniero,casado,otro
157,29,45,5.6,4.53,verde,estudiante,viudo,femenino
158,60,32,8.81,8.42,amarillo,médico,soltero,otro
159,33,50,8.69,8.58,rojo,médico,soltero,masculino
160,43,36,6.43,5.42,morado,médico,soltero,otro
161,25,22,2.61,2.59,morado,médico,casado,masculino
162,30,51,2.95,2.91,amarillo,programador,divorciado,femenino
163,28,34,6.45,5.26,azul,vendedor,viudo,femenino
164,20,22,8.66,8.0,amarillo,médico,casado,femenino
165,50,56,2.39,2.3,morado,ingeniero,soltero,femenino
166,24,57,8.42,7.02,negro,estudiante,casado,femenino
167,58,34,2.6,2.31,morado,ingeniero,soltero,femenino
168,21,23,7.38,6.76,rojo,estudiante,casado,femenino
169,55,47,5.68,5.27,verde,médico,soltero,masculino
170,52,32,9.84,8.54,rojo,estudiante,soltero,femenino
171,20,52,8.55,8.17,blanco,docente,casado,masculino
172,38,59,5.42,4.42,amarillo,programador,viudo,femenino
173,46,44,7.5,6.4,rojo,estudiante,divorciado,femenino
174,26,39,4.83,3.96,blanco,ingeniero,viudo,femenino
175,60,41,3.04,2.62,rojo,ingeniero,viudo,masculino
176,43,40,6.26,5.47,blanco,ingeniero,casado,femenino
177,56,25,8.3,7.83,morado,docente,casado,masculino
178,28,21,2.26,1.96,rojo,estudiante,soltero,femenino
179,64,60,6.21,5.54,morado,estudiante,soltero,masculino
180,47,56,5.26,5.14,amarillo,docente,viudo,femenino
181,62,28,8.35,7.74,azul,docente,divorciado,masculino
182,57,26,3.68,3.51,blanco,docente,viudo,masculino
183,18,22,5.6,4.72,azul,programador,soltero,masculino
184,59,40,1.74,1.67,rojo,estudiante,soltero,femenino
185,47,37,6.29,5.66,amarillo,médico,casado,masculino
186,44,57,2.89,2.79,azul,docente,soltero,femenino
187,32,25,7.18,6.68,rojo,estudiante,viudo,otro
188,46,31,3.64,3.03,morado,estudiante,divorciado,femenino
189,38,32,9.22,7.61,rojo,vendedor,divorciado,femenino
190,42,35,9.03,7.74,rojo,vendedor,casado,masculino
191,57,60,3.97,3.76,azul,ingeniero,divorciado,otro
192,54,32,8.46,7.44,verde,programador,casado,otro
193,37,35,5.61,4.78,amarillo,médico,divorciado,femenino
194,61,25,7.27,5.87,negro,programador,divorciado,masculino
195,32,27,3.6,3.27,morado,vendedor,soltero,femenino
196,56,51,3.45,2.97,rojo,docente,viudo,otro
197,34,24,6.29,5.9,negro,estudiante,divorciado,otro
198,48,52,7.84,7.67,verde,médico,soltero,masculino
199,36,54,5.35,5.18,rojo,programador,viudo,femenino
200,50,39,9.73,7.95,verde,vendedor,casado,otro
